reporting_period,product_name,revenue_at_historical_price
2024-03,Anmol Namkeen Mix 150g,11820.94
2024-03,Anmol Namkeen Mix 60g,10425.60
2024-03,Bikano Cookies 250g,12593.00
2024-03,Bikano Cookies 400g,8240.15
2024-03,Bikano Cookies 60g,7753.90
2024-03,Bikano Glucose Biscuit 250g,20627.28
2024-03,Bikano Khakhra 100g,7810.05
2024-03,Bikano Khakhra 400g,17375.19
2024-03,Bikano Marie Gold 60g,4309.60
2024-03,Bikano Namkeen Mix 100g,2761.05
2024-03,Bikano Namkeen Mix 150g,1674.75
2024-03,Bikano Namkeen Mix 250g,8851.90
2024-03,Bikano Namkeen Mix 400g,12296.20
2024-03,Bisleri Cola 250g,30429.63
2024-03,Bisleri Cola 2L,12332.16
2024-03,Bisleri Cola 500g,6722.20
2024-03,Bisleri Instant Coffee 2L,36269.64
2024-03,Bisleri Mango Juice 250g,45762.83
2024-03,Bisleri Mineral Water 1L,50289.75
2024-03,Bisleri Mineral Water 2L,67118.26
2024-03,Bisleri Mineral Water 600ml,13332.48
2024-03,Bisleri Soda 1L,31396.74
2024-03,Bisleri Soda 500g,51266.91
2024-03,Bisleri Tea Leaf 1L,2229.45
2024-03,Bisleri Tea Leaf 250g,25849.35
2024-03,Bisleri Tea Leaf 500g,20370.00
2024-03,Britannia Cookies 150g,1338.40
2024-03,Britannia Cream Biscuit 60g,7431.45
2024-03,Britannia Glucose Biscuit 100g,10624.44
2024-03,Britannia Glucose Biscuit 250g,13509.09
2024-03,Britannia Glucose Biscuit 400g,2317.50
2024-03,Britannia Glucose Biscuit 60g,3961.60
2024-03,Britannia Khakhra 100g,13659.48
2024-03,Britannia Khakhra 250g,3932.81
2024-03,Britannia Khakhra 400g,992.48
2024-03,Britannia Marie Gold 400g,10729.35
2024-03,Bru Cola 600ml,8246.48
2024-03,Bru Mango Juice 250g,52001.42
2024-03,Bru Mango Juice 500g,33663.48
2024-03,Bru Mango Juice 600ml,3931.90
2024-03,Bru Mineral Water 250g,55232.87
2024-03,Bru Mineral Water 500g,22195.46
2024-03,Bru Soda 2L,45265.92
2024-03,Bru Soda 500g,6870.10
2024-03,Bru Soda 600ml,22419.74
2024-03,Cadbury Candy Pack 25g,71963.16
2024-03,Cadbury Candy Pack 50g,53402.04
2024-03,Cadbury Candy Pack Pack of 10,16804.24
2024-03,Cadbury Chewing Gum 25g,31230.63
2024-03,Cadbury Chewing Gum 50g,41048.41
2024-03,Cadbury Dark Chocolate 100g,55894.74
2024-03,Cadbury Dark Chocolate 25g,27462.48
2024-03,Cadbury Dark Chocolate 50g,24770.45
2024-03,Cadbury Milk Chocolate 25g,19282.80
2024-03,Cadbury Milk Chocolate 50g,47650.23
2024-03,Cadbury Milk Chocolate Pack of 10,24782.50
2024-03,Camlin A4 Paper Ream 1 pc,6102.69
2024-03,Camlin A4 Paper Ream 500 sheets,25450.50
2024-03,Camlin Ball Pen Pack of 5,89976.62
2024-03,Camlin Notebook 500 sheets,85558.89
2024-03,Camlin Notebook Pack of 5,59405.25
2024-03,Camlin Pencil Box 1 pc,38511.53
2024-03,Camlin Pencil Box 500 sheets,11888.24
2024-03,Camlin Pencil Box Pack of 5,66524.42
2024-03,Catch Chilli Powder 200g,34708.00
2024-03,Catch Chilli Powder 500g,7303.80
2024-03,Catch Coriander Powder 200g,6507.60
2024-03,Catch Coriander Powder 500g,19210.31
2024-03,Catch Garam Masala 100g,5669.55
2024-03,Catch Sambar Powder 100g,48456.92
2024-03,Catch Sambar Powder 200g,43958.80
2024-03,Catch Sambar Powder 500g,4870.32
2024-03,Catch Sambar Powder 50g,38529.65
2024-03,Catch Turmeric Powder 200g,26873.55
2024-03,Catch Turmeric Powder 500g,53862.56
2024-03,Cello A4 Paper Ream 1 pc,43333.61
2024-03,Cello A4 Paper Ream 500 sheets,38485.72
2024-03,Cello A4 Paper Ream Pack of 5,54759.15
2024-03,Cello Ball Pen 1 pc,48138.11
2024-03,Cello Ball Pen 500 sheets,18474.30
2024-03,Cello Ball Pen Pack of 5,38740.67
2024-03,Cello Notebook 1 pc,35429.13
2024-03,Cello Notebook 500 sheets,35992.30
2024-03,Cello Notebook Pack of 5,63097.32
2024-03,Cello Pencil Box 1 pc,30955.98
2024-03,Cello Pencil Box 500 sheets,60257.96
2024-03,Cello Pencil Box Pack of 5,98882.41
2024-03,Classmate A4 Paper Ream 500 sheets,33682.95
2024-03,Classmate A4 Paper Ream Pack of 5,28477.01
2024-03,Classmate Ball Pen 1 pc,81104.60
2024-03,Classmate Ball Pen 500 sheets,41799.80
2024-03,Classmate Ball Pen Pack of 5,71889.32
2024-03,Classmate Notebook 1 pc,49939.41
2024-03,Classmate Notebook 500 sheets,31397.56
2024-03,Classmate Notebook Pack of 5,115421.13
2024-03,Classmate Pencil Box 1 pc,26557.95
2024-03,Classmate Pencil Box 500 sheets,98349.90
2024-03,Classmate Pencil Box Pack of 5,17010.41
2024-03,Colgate Bathing Soap 75g,86035.25
2024-03,Colgate Body Lotion 180ml,6015.70
2024-03,Colgate Body Lotion 340ml,130168.59
2024-03,Colgate Body Lotion 75g,21326.85
2024-03,Colgate Face Wash 180ml,72641.25
2024-03,Colgate Face Wash 75g,12766.64
2024-03,Colgate Hair Oil 100g,47288.22
2024-03,Colgate Hair Oil 180ml,30342.60
2024-03,Colgate Shampoo 100g,120248.84
2024-03,Colgate Shampoo 180ml,122371.45
2024-03,Comfort Detergent Powder 1kg,17065.96
2024-03,Comfort Detergent Powder 200g,25266.80
2024-03,Comfort Detergent Powder 500ml,93093.41
2024-03,Comfort Dishwash Bar 1kg,4866.21
2024-03,Comfort Dishwash Bar 500g,54799.35
2024-03,Comfort Dishwash Bar 500ml,73713.80
2024-03,Comfort Fabric Conditioner 1kg,19947.70
2024-03,Comfort Fabric Conditioner 200g,36080.80
2024-03,Comfort Fabric Conditioner 500ml,118869.68
2024-03,Comfort Floor Cleaner 500g,57152.62
2024-03,Comfort Toilet Cleaner 200g,151912.52
2024-03,Comfort Toilet Cleaner 500ml,40188.96
2024-03,Daawat Basmati Rice 10kg,24080.88
2024-03,Daawat Basmati Rice 1kg,196107.42
2024-03,Daawat Basmati Rice 5kg,78500.16
2024-03,Daawat Chana Dal 10kg,92224.25
2024-03,Daawat Chana Dal 1kg,131271.75
2024-03,Daawat Chana Dal 5kg,185288.46
2024-03,Daawat Poha 10kg,300128.36
2024-03,Daawat Sona Masoori Rice 10kg,163796.34
2024-03,Daawat Sona Masoori Rice 1kg,401984.85
2024-03,Daawat Toor Dal 5kg,360920.53
2024-03,Daawat Whole Wheat Atta 1kg,33130.55
2024-03,Dhara Groundnut Oil 1L,375138.90
2024-03,Dhara Groundnut Oil 5L,76978.20
2024-03,Dhara Mustard Oil 1L,70315.82
2024-03,Dhara Mustard Oil 2L,182976.74
2024-03,Dhara Mustard Oil 5L,231133.32
2024-03,Dhara Rice Bran Oil 1L,92143.80
2024-03,Dhara Rice Bran Oil 5L,74234.11
2024-03,Dhara Sunflower Oil 1L,63116.56
2024-03,Dhara Sunflower Oil 2L,189122.15
2024-03,Dhara Sunflower Oil 5L,156351.75
2024-03,Dove Bathing Soap 180ml,7832.52
2024-03,Dove Bathing Soap 340ml,62644.14
2024-03,Dove Body Lotion 340ml,92723.95
2024-03,Dove Hair Oil 340ml,66702.55
2024-03,Dove Hair Oil 75g,72171.17
2024-03,Dove Toothpaste 100g,5264.56
2024-03,Dove Toothpaste 180ml,104527.45
2024-03,Eastern Chilli Powder 50g,32971.71
2024-03,Eastern Coriander Powder 100g,7443.70
2024-03,Eastern Coriander Powder 500g,35999.24
2024-03,Eastern Coriander Powder 50g,25995.65
2024-03,Eastern Garam Masala 200g,52779.26
2024-03,Eastern Garam Masala 500g,30216.36
2024-03,Eastern Sambar Powder 100g,28235.90
2024-03,Eastern Sambar Powder 200g,11937.24
2024-03,Eastern Sambar Powder 500g,6876.00
2024-03,Eastern Sambar Powder 50g,25482.55
2024-03,Eastern Turmeric Powder 100g,18083.25
2024-03,Eastern Turmeric Powder 200g,55766.88
2024-03,Eastern Turmeric Powder 500g,32663.36
2024-03,Eastern Turmeric Powder 50g,39701.88
2024-03,English Oven Muffin 6 pc,19523.79
2024-03,English Oven Muffin Pack of 2,29428.82
2024-03,English Oven Pav Bun 400g,40891.17
2024-03,English Oven Pav Bun 6 pc,50626.91
2024-03,English Oven Pav Bun Pack of 2,11881.90
2024-03,English Oven Rusk 400g,35568.35
2024-03,English Oven Rusk 6 pc,17118.30
2024-03,English Oven Rusk Pack of 2,6782.10
2024-03,English Oven Sandwich Bread 400g,32911.38
2024-03,English Oven Sandwich Bread Pack of 2,13535.71
2024-03,Everest Chilli Powder 100g,28056.36
2024-03,Everest Chilli Powder 200g,33746.58
2024-03,Everest Chilli Powder 50g,19075.14
2024-03,Everest Coriander Powder 500g,10788.38
2024-03,Everest Coriander Powder 50g,46138.98
2024-03,Everest Garam Masala 200g,28922.40
2024-03,Everest Garam Masala 500g,52770.31
2024-03,Everest Garam Masala 50g,4404.75
2024-03,Everest Sambar Powder 100g,51209.10
2024-03,Everest Sambar Powder 200g,58449.06
2024-03,Everest Sambar Powder 50g,25618.95
2024-03,Everest Turmeric Powder 200g,16555.40
2024-03,Farm Fresh Apple 1kg,38422.99
2024-03,Farm Fresh Apple 500g,14332.70
2024-03,Farm Fresh Apple Loose,80026.63
2024-03,Farm Fresh Banana 1kg,26682.64
2024-03,Farm Fresh Banana 500g,26474.46
2024-03,Farm Fresh Banana Loose,32226.51
2024-03,Farm Fresh Carrot 500g,18871.56
2024-03,Farm Fresh Onion 1kg,14068.60
2024-03,Farm Fresh Onion 500g,13193.26
2024-03,Farm Fresh Onion Loose,10911.00
2024-03,Farm Fresh Potato 1kg,27322.50
2024-03,Farm Fresh Potato 500g,40002.42
2024-03,Farm Fresh Tomato 1kg,18653.88
2024-03,Farm Fresh Tomato 500g,15646.24
2024-03,Farm Fresh Tomato Loose,29784.74
2024-03,Fortune Basmati Rice 10kg,157533.00
2024-03,Fortune Basmati Rice 1kg,193821.40
2024-03,Fortune Chana Dal 5kg,139649.40
2024-03,Fortune Groundnut Oil 5L,23314.50
2024-03,Fortune Mustard Oil 2L,73040.36
2024-03,Fortune Mustard Oil 5L,132092.01
2024-03,Fortune Poha 1kg,27573.91
2024-03,Fortune Poha 5kg,144587.30
2024-03,Fortune Rice Bran Oil 2L,63893.28
2024-03,Fortune Rice Bran Oil 5L,99310.54
2024-03,Fortune Sona Masoori Rice 1kg,330828.93
2024-03,Fortune Sunflower Oil 2L,16762.62
2024-03,Fortune Sunflower Oil 5L,140709.38
2024-03,Fortune Toor Dal 10kg,245753.70
2024-03,Fortune Toor Dal 5kg,180741.10
2024-03,Fortune Whole Wheat Atta 1kg,84664.64
2024-03,Fortune Whole Wheat Atta 5kg,28142.40
2024-03,Gold Winner Groundnut Oil 1L,127894.64
2024-03,Gold Winner Groundnut Oil 2L,118304.33
2024-03,Gold Winner Groundnut Oil 5L,254680.11
2024-03,Gold Winner Mustard Oil 1L,197990.78
2024-03,Gold Winner Mustard Oil 2L,82488.56
2024-03,Gold Winner Mustard Oil 5L,94212.91
2024-03,Gold Winner Rice Bran Oil 1L,427379.92
2024-03,Gold Winner Rice Bran Oil 2L,138876.00
2024-03,Gold Winner Sunflower Oil 1L,73797.36
2024-03,Gold Winner Sunflower Oil 2L,80318.52
2024-03,Harpic Detergent Powder 1kg,24114.00
2024-03,Harpic Detergent Powder 200g,13412.60
2024-03,Harpic Dishwash Bar 1kg,39466.70
2024-03,Harpic Dishwash Bar 200g,45481.96
2024-03,Harpic Dishwash Bar 500g,46216.00
2024-03,Harpic Fabric Conditioner 1kg,6258.44
2024-03,Harpic Fabric Conditioner 200g,57452.88
2024-03,Harpic Fabric Conditioner 500g,96561.17
2024-03,Harpic Fabric Conditioner 500ml,132374.50
2024-03,Harpic Floor Cleaner 200g,29866.62
2024-03,Harpic Floor Cleaner 500ml,18894.26
2024-03,Harpic Toilet Cleaner 1kg,66426.40
2024-03,Harvest Gold Muffin 400g,15339.85
2024-03,Harvest Gold Muffin 6 pc,8321.65
2024-03,Harvest Gold Muffin Pack of 2,7783.60
2024-03,Harvest Gold Pav Bun 400g,11235.84
2024-03,Harvest Gold Pav Bun 6 pc,9263.94
2024-03,Harvest Gold Pav Bun Pack of 2,27311.35
2024-03,Harvest Gold Rusk 400g,5155.08
2024-03,Harvest Gold Rusk 6 pc,15410.31
2024-03,Harvest Gold Rusk Pack of 2,28021.41
2024-03,Harvest Gold Sandwich Bread 6 pc,43567.73
2024-03,Harvest Gold Sandwich Bread Pack of 2,20168.88
2024-03,Heritage Butter 1L,7814.25
2024-03,Heritage Butter 200g,25092.90
2024-03,Heritage Cheese Slices 200g,15188.48
2024-03,Heritage Cheese Slices 200ml,2274.70
2024-03,Heritage Cheese Slices 500g,45317.70
2024-03,Heritage Cheese Slices 500ml,21404.90
2024-03,Heritage Curd 1L,34798.35
2024-03,Heritage Ghee 1L,24118.49
2024-03,Heritage Ghee 500g,59457.44
2024-03,Heritage Ghee 500ml,20863.56
2024-03,Heritage Paneer 1L,12850.70
2024-03,Heritage Paneer 200ml,25560.60
2024-03,Heritage Toned Milk 200g,46586.40
2024-03,Heritage Toned Milk 500g,36828.80
2024-03,Himalaya Bathing Soap 75g,75789.59
2024-03,Himalaya Body Lotion 100g,95537.84
2024-03,Himalaya Body Lotion 180ml,19955.10
2024-03,Himalaya Face Wash 340ml,67615.81
2024-03,Himalaya Face Wash 75g,37441.15
2024-03,Himalaya Hair Oil 340ml,141156.90
2024-03,Himalaya Shampoo 180ml,37614.78
2024-03,Himalaya Toothpaste 100g,100073.42
2024-03,Himalaya Toothpaste 180ml,74656.90
2024-03,Himalaya Toothpaste 340ml,45157.26
2024-03,Himalaya Toothpaste 75g,65979.26
2024-03,Huggies Baby Powder Medium,241549.57
2024-03,Huggies Baby Powder Small,184659.68
2024-03,Huggies Baby Soap Large,96782.96
2024-03,Huggies Baby Soap Medium,53151.15
2024-03,Huggies Baby Wipes Large,85201.32
2024-03,Huggies Baby Wipes Small,82397.30
2024-03,Huggies Baby Wipes XL,141032.22
2024-03,Huggies Diapers Small,569570.11
2024-03,ITC Master Chef French Fries 400g,23193.45
2024-03,ITC Master Chef Frozen Peas 1kg,94076.34
2024-03,ITC Master Chef Frozen Peas 200g,62570.10
2024-03,ITC Master Chef Frozen Peas 400g,37400.23
2024-03,ITC Master Chef Idli Batter 1kg,23557.23
2024-03,ITC Master Chef Idli Batter 200g,42906.68
2024-03,ITC Master Chef Idli Batter 400g,34435.95
2024-03,ITC Master Chef Ready Paratha 1kg,20276.10
2024-03,ITC Master Chef Ready Paratha 200g,11928.90
2024-03,ITC Master Chef Ready Paratha 400g,84314.12
2024-03,India Gate Basmati Rice 5kg,217725.18
2024-03,India Gate Chana Dal 10kg,85274.96
2024-03,India Gate Chana Dal 5kg,118663.66
2024-03,India Gate Poha 10kg,135638.98
2024-03,India Gate Sona Masoori Rice 1kg,82488.58
2024-03,India Gate Toor Dal 10kg,98406.40
2024-03,India Gate Toor Dal 1kg,82583.67
2024-03,India Gate Toor Dal 5kg,96681.20
2024-03,India Gate Whole Wheat Atta 10kg,77134.64
2024-03,India Gate Whole Wheat Atta 1kg,151082.41
2024-03,India Gate Whole Wheat Atta 5kg,226289.25
2024-03,Johnson's Baby Powder Large,152778.95
2024-03,Johnson's Baby Powder Small,116236.19
2024-03,Johnson's Baby Powder XL,81583.68
2024-03,Johnson's Baby Soap Large,59214.87
2024-03,Johnson's Baby Soap Small,60259.38
2024-03,Johnson's Baby Wipes Large,57762.54
2024-03,Johnson's Baby Wipes Medium,140692.84
2024-03,Johnson's Baby Wipes Small,61290.14
2024-03,Johnson's Diapers Large,112891.20
2024-03,Lizol Detergent Powder 200g,81062.06
2024-03,Lizol Detergent Powder 500g,13275.30
2024-03,Lizol Dishwash Bar 500ml,57165.35
2024-03,Lizol Fabric Conditioner 200g,10194.90
2024-03,Lizol Fabric Conditioner 500ml,25626.60
2024-03,Lizol Floor Cleaner 200g,34969.65
2024-03,Lizol Floor Cleaner 500ml,83644.83
2024-03,Lizol Toilet Cleaner 200g,6894.25
2024-03,Local Bakery Muffin 400g,37643.92
2024-03,Local Bakery Muffin Pack of 2,20623.32
2024-03,Local Bakery Pav Bun 400g,34174.68
2024-03,Local Bakery Pav Bun 6 pc,24932.17
2024-03,Local Bakery Pav Bun Pack of 2,44048.08
2024-03,Local Bakery Rusk 400g,35378.92
2024-03,Local Bakery Rusk 6 pc,39370.02
2024-03,Local Bakery Rusk Pack of 2,47855.70
2024-03,Local Bakery Sandwich Bread 400g,2834.65
2024-03,Local Bakery Sandwich Bread 6 pc,16069.16
2024-03,Local Bakery Sandwich Bread Pack of 2,24693.78
2024-03,Local Mandi Apple 1kg,37306.38
2024-03,Local Mandi Apple 500g,75104.36
2024-03,Local Mandi Apple Loose,47126.77
2024-03,Local Mandi Banana 1kg,28465.86
2024-03,Local Mandi Banana 500g,9379.72
2024-03,Local Mandi Banana Loose,21999.00
2024-03,Local Mandi Carrot 500g,19716.30
2024-03,Local Mandi Carrot Loose,19452.07
2024-03,Local Mandi Onion 1kg,27982.51
2024-03,Local Mandi Onion 500g,41306.95
2024-03,Local Mandi Onion Loose,14631.30
2024-03,Local Mandi Potato 1kg,47423.87
2024-03,Local Mandi Potato 500g,13671.84
2024-03,Local Mandi Potato Loose,20255.30
2024-03,Local Mandi Tomato 1kg,18651.80
2024-03,Local Mandi Tomato 500g,12568.19
2024-03,Local Mandi Tomato Loose,1596.00
2024-03,MDH Chilli Powder 500g,30947.91
2024-03,MDH Garam Masala 500g,45345.08
2024-03,MDH Garam Masala 50g,28805.92
2024-03,MDH Sambar Powder 100g,63080.94
2024-03,MDH Sambar Powder 200g,6182.46
2024-03,MDH Sambar Powder 500g,25849.95
2024-03,MDH Turmeric Powder 500g,7081.10
2024-03,Mamaearth Bathing Soap 340ml,51047.56
2024-03,Mamaearth Body Lotion 100g,55118.75
2024-03,Mamaearth Body Lotion 75g,48202.24
2024-03,Mamaearth Face Wash 100g,141693.85
2024-03,Mamaearth Hair Oil 100g,10026.30
2024-03,Mamaearth Toothpaste 75g,46880.05
2024-03,Mamypoko Baby Powder Large,20861.02
2024-03,Mamypoko Baby Powder Medium,176243.78
2024-03,Mamypoko Baby Powder Small,110848.50
2024-03,Mamypoko Baby Powder XL,100510.92
2024-03,Mamypoko Baby Soap Large,115727.70
2024-03,Mamypoko Baby Soap Small,74263.00
2024-03,Mamypoko Baby Soap XL,181346.95
2024-03,Mamypoko Baby Wipes Large,319446.96
2024-03,Mamypoko Baby Wipes Medium,350195.49
2024-03,Mamypoko Baby Wipes Small,270933.50
2024-03,Mamypoko Baby Wipes XL,337199.42
2024-03,Mamypoko Diapers Large,187573.67
2024-03,Mamypoko Diapers Medium,349086.16
2024-03,Mamypoko Diapers Small,14154.00
2024-03,Mamypoko Diapers XL,313765.02
2024-03,McCain French Fries 1kg,56581.74
2024-03,McCain French Fries 200g,88974.62
2024-03,McCain French Fries 400g,61110.31
2024-03,McCain Frozen Peas 1kg,77023.51
2024-03,McCain Frozen Peas 200g,55095.34
2024-03,McCain Idli Batter 1kg,78183.08
2024-03,McCain Idli Batter 200g,78619.05
2024-03,McCain Idli Batter 400g,24285.52
2024-03,McCain Ready Paratha 1kg,180443.77
2024-03,McCain Ready Paratha 200g,29473.10
2024-03,McCain Ready Paratha 400g,48271.60
2024-03,Milky Mist Butter 200g,101580.60
2024-03,Milky Mist Butter 500g,11287.98
2024-03,Milky Mist Cheese Slices 200ml,62747.88
2024-03,Milky Mist Cheese Slices 500g,116275.29
2024-03,Milky Mist Cheese Slices 500ml,8975.75
2024-03,Milky Mist Curd 200ml,35048.85
2024-03,Milky Mist Ghee 200g,50943.34
2024-03,Milky Mist Ghee 200ml,70914.18
2024-03,Milky Mist Ghee 500g,123596.99
2024-03,Milky Mist Ghee 500ml,35525.42
2024-03,Milky Mist Paneer 200ml,21145.30
2024-03,Milky Mist Paneer 500ml,44945.00
2024-03,Milky Mist Toned Milk 200g,22654.85
2024-03,Milky Mist Toned Milk 200ml,73017.95
2024-03,Modern Muffin 400g,4832.10
2024-03,Modern Muffin 6 pc,6200.65
2024-03,Modern Muffin Pack of 2,22174.18
2024-03,Modern Pav Bun 400g,19843.56
2024-03,Modern Pav Bun 6 pc,26624.96
2024-03,Modern Rusk 400g,41913.35
2024-03,Modern Rusk 6 pc,30735.45
2024-03,Modern Rusk Pack of 2,26741.50
2024-03,Modern Sandwich Bread 400g,35323.15
2024-03,Modern Sandwich Bread Pack of 2,7387.91
2024-03,Mother Dairy Butter 200ml,141165.03
2024-03,Mother Dairy Butter 500g,43450.51
2024-03,Mother Dairy Cheese Slices 200g,46053.05
2024-03,Mother Dairy Cheese Slices 200ml,21899.40
2024-03,Mother Dairy Curd 200ml,3798.54
2024-03,Mother Dairy Curd 500ml,5911.80
2024-03,Mother Dairy Ghee 200g,39864.46
2024-03,Mother Dairy Ghee 500g,31249.86
2024-03,Mother Dairy Paneer 200g,11049.00
2024-03,Mother Dairy Paneer 500ml,61003.95
2024-03,Mother Dairy Toned Milk 1L,71178.36
2024-03,Mother Dairy Toned Milk 200ml,30517.16
2024-03,Nandini Butter 1L,76993.56
2024-03,Nandini Butter 200ml,66578.56
2024-03,Nandini Butter 500ml,3455.48
2024-03,Nandini Cheese Slices 1L,32430.60
2024-03,Nandini Cheese Slices 200g,44824.03
2024-03,Nandini Cheese Slices 500g,21486.72
2024-03,Nandini Curd 200g,38481.54
2024-03,Nandini Curd 200ml,10852.80
2024-03,Nandini Curd 500ml,4260.43
2024-03,Nandini Ghee 1L,78988.62
2024-03,Nandini Ghee 200ml,54636.30
2024-03,Nandini Ghee 500g,110885.63
2024-03,Nandini Ghee 500ml,32104.53
2024-03,Nandini Paneer 200ml,58067.55
2024-03,Nandini Toned Milk 1L,69176.65
2024-03,Nandini Toned Milk 500g,18704.40
2024-03,Nandini Toned Milk 500ml,40666.42
2024-03,Nataraj A4 Paper Ream 1 pc,24097.47
2024-03,Nataraj A4 Paper Ream 500 sheets,30502.20
2024-03,Nataraj A4 Paper Ream Pack of 5,33102.52
2024-03,Nataraj Ball Pen 1 pc,97439.24
2024-03,Nataraj Ball Pen 500 sheets,46700.93
2024-03,Nataraj Ball Pen Pack of 5,66952.24
2024-03,Nataraj Pencil Box 1 pc,49441.03
2024-03,Nataraj Pencil Box 500 sheets,101205.51
2024-03,Nataraj Pencil Box Pack of 5,16892.80
2024-03,Nestle Candy Pack 100g,29235.97
2024-03,Nestle Candy Pack 25g,56188.01
2024-03,Nestle Candy Pack Pack of 10,43955.21
2024-03,Nestle Chewing Gum 25g,11650.67
2024-03,Nestle Chewing Gum 50g,44489.33
2024-03,Nestle Dark Chocolate 100g,29211.79
2024-03,Nestle Dark Chocolate 25g,14254.14
2024-03,Nestle Dark Chocolate 50g,59000.76
2024-03,Nestle Dark Chocolate Pack of 10,4409.44
2024-03,Nestle Milk Chocolate 100g,37574.95
2024-03,Nestle Milk Chocolate 25g,20296.98
2024-03,Nestle Milk Chocolate 50g,12042.32
2024-03,Nestle Milk Chocolate Pack of 10,55319.22
2024-03,Nivea Bathing Soap 340ml,86540.30
2024-03,Nivea Bathing Soap 75g,87331.83
2024-03,Nivea Face Wash 340ml,122020.18
2024-03,Nivea Face Wash 75g,47438.36
2024-03,Nivea Hair Oil 100g,82606.65
2024-03,Nivea Shampoo 340ml,27407.32
2024-03,Nivea Toothpaste 340ml,50186.83
2024-03,Pampers Baby Powder Large,52970.19
2024-03,Pampers Baby Powder Medium,149106.76
2024-03,Pampers Baby Powder Small,341867.40
2024-03,Pampers Baby Powder XL,332551.72
2024-03,Pampers Baby Soap Large,98619.35
2024-03,Pampers Baby Soap Small,129973.26
2024-03,Pampers Baby Wipes Large,29393.46
2024-03,Pampers Baby Wipes Small,187808.64
2024-03,Pampers Baby Wipes XL,17928.07
2024-03,Pampers Diapers Large,228692.51
2024-03,Pampers Diapers Medium,214691.73
2024-03,Pampers Diapers Small,143889.57
2024-03,Pampers Diapers XL,77628.89
2024-03,Paper Boat Cola 250g,36433.42
2024-03,Paper Boat Instant Coffee 1L,22535.40
2024-03,Paper Boat Instant Coffee 2L,12290.70
2024-03,Paper Boat Mango Juice 1L,67329.00
