business_date,store_id,category_name,product_name,authoritative_price,quantity,revenue_at_period_price
2024-03-01,S01,Spices & Masala,Catch Garam Masala 100g,43.95,2.000,87.90
2024-03-01,S01,Stationery & General,Cello A4 Paper Ream 500 sheets,284.95,-1.000,-284.95
2024-03-01,S01,Stationery & General,Cello Notebook Pack of 5,370.89,6.000,2225.34
2024-03-01,S01,Stationery & General,Cello Pencil Box 1 pc,347.82,1.000,347.82
2024-03-01,S01,Stationery & General,Cello Pencil Box 500 sheets,75.95,2.000,151.90
2024-03-01,S01,Stationery & General,Cello Pencil Box 500 sheets,130.95,4.000,523.80
2024-03-01,S01,Stationery & General,Cello Pencil Box Pack of 5,413.95,2.000,827.90
2024-03-01,S01,Stationery & General,Classmate A4 Paper Ream Pack of 5,57.40,4.000,229.60
2024-03-01,S01,Stationery & General,Classmate Ball Pen 500 sheets,47.95,3.000,143.85
2024-03-01,S01,Stationery & General,Classmate Ball Pen 500 sheets,262.95,3.000,788.85
2024-03-01,S01,Stationery & General,Classmate Notebook 500 sheets,195.74,2.000,391.48
2024-03-01,S01,Stationery & General,Classmate Notebook Pack of 5,294.44,1.000,294.44
2024-03-01,S01,Stationery & General,Classmate Pencil Box 500 sheets,387.92,-1.000,-387.92
2024-03-01,S01,Stationery & General,Classmate Pencil Box 500 sheets,76.13,3.000,228.39
2024-03-01,S01,Stationery & General,Classmate Pencil Box Pack of 5,23.95,3.000,71.85
2024-03-01,S01,Personal Care,Colgate Body Lotion 340ml,539.31,3.000,1617.93
2024-03-01,S01,Personal Care,Colgate Face Wash 75g,120.44,-1.000,-120.44
2024-03-01,S01,Personal Care,Colgate Shampoo 180ml,729.30,2.000,1458.60
2024-03-01,S01,Home Care,Comfort Detergent Powder 200g,242.95,3.000,728.85
2024-03-01,S01,Home Care,Comfort Fabric Conditioner 1kg,231.95,3.000,695.85
2024-03-01,S01,Home Care,Comfort Toilet Cleaner 500ml,478.44,3.000,1435.32
2024-03-01,S01,Staples & Grains,Daawat Basmati Rice 10kg,206.25,1.000,206.25
2024-03-01,S01,Staples & Grains,Daawat Sona Masoori Rice 1kg,1117.90,1.000,1117.90
2024-03-01,S01,Staples & Grains,Daawat Sona Masoori Rice 1kg,893.95,1.000,893.95
2024-03-01,S01,Staples & Grains,Daawat Toor Dal 5kg,539.95,1.000,539.95
2024-03-01,S01,Edible Oils,Dhara Mustard Oil 2L,370.21,1.000,370.21
2024-03-01,S01,Edible Oils,Dhara Mustard Oil 5L,1231.60,2.000,2463.20
2024-03-01,S01,Edible Oils,Dhara Sunflower Oil 2L,771.95,1.000,771.95
2024-03-01,S01,Personal Care,Dove Bathing Soap 180ml,73.62,3.000,220.86
2024-03-01,S01,Personal Care,Dove Bathing Soap 340ml,549.51,6.000,3297.06
2024-03-01,S01,Spices & Masala,Eastern Coriander Powder 100g,67.67,2.000,135.34
2024-03-01,S01,Spices & Masala,Eastern Garam Masala 200g,43.95,2.000,87.90
2024-03-01,S01,Spices & Masala,Eastern Sambar Powder 100g,42.95,1.000,42.95
2024-03-01,S01,Spices & Masala,Eastern Turmeric Powder 200g,516.36,2.000,1032.72
2024-03-01,S01,Bakery,English Oven Pav Bun 400g,66.05,4.000,264.20
2024-03-01,S01,Bakery,English Oven Rusk 400g,70.70,1.000,70.70
2024-03-01,S01,Bakery,English Oven Rusk Pack of 2,86.95,1.000,86.95
2024-03-01,S01,Bakery,English Oven Sandwich Bread 400g,128.95,3.000,386.85
2024-03-01,S01,Bakery,English Oven Sandwich Bread Pack of 2,27.42,1.000,27.42
2024-03-01,S01,Spices & Masala,Everest Garam Masala 200g,280.80,2.000,561.60
2024-03-01,S01,Spices & Masala,Everest Garam Masala 500g,169.06,2.000,338.12
2024-03-01,S01,Spices & Masala,Everest Garam Masala 50g,41.95,3.000,125.85
2024-03-01,S01,Spices & Masala,Everest Sambar Powder 100g,373.19,3.000,1119.57
2024-03-01,S01,Spices & Masala,Everest Sambar Powder 50g,64.40,2.000,128.80
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Apple 1kg,104.41,2.000,208.82
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Banana 500g,59.21,1.000,59.21
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Carrot 500g,202.92,3.000,608.76
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Onion 500g,153.41,1.000,153.41
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Potato 500g,205.38,5.000,1026.90
2024-03-01,S01,Fruits & Vegetables,Farm Fresh Potato 500g,81.60,1.000,81.60
2024-03-01,S01,Staples & Grains,Fortune Basmati Rice 10kg,229.95,1.000,229.95
2024-03-01,S01,Edible Oils,Fortune Groundnut Oil 5L,211.95,7.000,1483.65
2024-03-01,S01,Staples & Grains,Fortune Poha 5kg,1314.43,2.000,2628.86
2024-03-01,S01,Edible Oils,Fortune Rice Bran Oil 5L,1023.82,5.000,5119.10
2024-03-01,S01,Staples & Grains,Fortune Sona Masoori Rice 1kg,1254.95,2.000,2509.90
2024-03-01,S01,Staples & Grains,Fortune Whole Wheat Atta 1kg,301.95,4.000,1207.80
2024-03-01,S01,Edible Oils,Gold Winner Rice Bran Oil 2L,747.95,1.000,747.95
2024-03-01,S01,Edible Oils,Gold Winner Sunflower Oil 2L,863.64,1.000,863.64
2024-03-01,S01,Home Care,Harpic Detergent Powder 200g,78.95,2.000,157.90
2024-03-01,S01,Home Care,Harpic Dishwash Bar 1kg,45.95,3.000,137.85
2024-03-01,S01,Home Care,Harpic Fabric Conditioner 1kg,64.52,1.000,64.52
2024-03-01,S01,Bakery,Harvest Gold Muffin 400g,133.39,1.000,133.39
2024-03-01,S01,Bakery,Harvest Gold Rusk 400g,61.37,2.000,122.74
2024-03-01,S01,Bakery,Harvest Gold Rusk 6 pc,139.95,1.000,139.95
2024-03-01,S01,Bakery,Harvest Gold Sandwich Bread 6 pc,46.25,4.000,185.00
2024-03-01,S01,Dairy,Heritage Paneer 200ml,220.35,4.000,881.40
2024-03-01,S01,Baby Care,Huggies Baby Wipes XL,182.63,2.000,365.26
2024-03-01,S01,Frozen & Ready to Eat,ITC Master Chef Frozen Peas 400g,294.49,2.000,588.98
2024-03-01,S01,Frozen & Ready to Eat,ITC Master Chef Idli Batter 200g,128.95,1.000,128.95
2024-03-01,S01,Frozen & Ready to Eat,ITC Master Chef Idli Batter 400g,340.95,3.000,1022.85
2024-03-01,S01,Frozen & Ready to Eat,ITC Master Chef Ready Paratha 200g,116.95,3.000,350.85
2024-03-01,S01,Staples & Grains,India Gate Whole Wheat Atta 10kg,1042.36,2.000,2084.72
2024-03-01,S01,Baby Care,Johnson's Baby Powder Large,1020.37,1.000,1020.37
2024-03-01,S01,Baby Care,Johnson's Baby Powder Large,540.51,1.000,540.51
2024-03-01,S01,Baby Care,Johnson's Baby Powder Small,437.01,3.000,1311.03
2024-03-01,S01,Bakery,Local Bakery Muffin 400g,62.95,1.000,62.95
2024-03-01,S01,Bakery,Local Bakery Muffin Pack of 2,51.26,-3.000,-153.78
2024-03-01,S01,Bakery,Local Bakery Rusk 6 pc,178.05,3.000,534.15
2024-03-01,S01,Fruits & Vegetables,Local Mandi Apple 1kg,97.06,1.000,97.06
2024-03-01,S01,Fruits & Vegetables,Local Mandi Apple 500g,155.69,7.000,1089.83
2024-03-01,S01,Fruits & Vegetables,Local Mandi Banana 500g,67.48,4.000,269.92
2024-03-01,S01,Fruits & Vegetables,Local Mandi Banana Loose,87.00,2.000,174.00
2024-03-01,S01,Fruits & Vegetables,Local Mandi Onion 1kg,120.81,1.000,120.81
2024-03-01,S01,Fruits & Vegetables,Local Mandi Potato 1kg,16.02,3.000,48.06
2024-03-01,S01,Spices & Masala,MDH Chilli Powder 500g,210.53,2.000,421.06
2024-03-01,S01,Spices & Masala,MDH Sambar Powder 100g,210.63,-2.000,-421.26
2024-03-01,S01,Spices & Masala,MDH Sambar Powder 500g,79.95,3.000,239.85
2024-03-01,S01,Personal Care,Mamaearth Bathing Soap 340ml,477.08,1.000,477.08
2024-03-01,S01,Baby Care,Mamypoko Baby Powder Large,164.26,5.000,821.30
2024-03-01,S01,Baby Care,Mamypoko Baby Powder Medium,241.11,1.000,241.11
2024-03-01,S01,Baby Care,Mamypoko Baby Wipes Small,426.95,2.000,853.90
2024-03-01,S01,Baby Care,Mamypoko Baby Wipes XL,798.18,2.000,1596.36
2024-03-01,S01,Frozen & Ready to Eat,McCain Frozen Peas 1kg,425.67,2.000,851.34
2024-03-01,S01,Frozen & Ready to Eat,McCain Frozen Peas 200g,336.95,2.000,673.90
2024-03-01,S01,Frozen & Ready to Eat,McCain Ready Paratha 1kg,162.96,3.000,488.88
2024-03-01,S01,Frozen & Ready to Eat,McCain Ready Paratha 1kg,217.71,3.000,653.13
2024-03-01,S01,Frozen & Ready to Eat,McCain Ready Paratha 400g,317.30,1.000,317.30
2024-03-01,S01,Dairy,Milky Mist Ghee 500g,534.07,1.000,534.07
2024-03-01,S01,Bakery,Modern Pav Bun 400g,26.95,-3.000,-80.85
2024-03-01,S01,Bakery,Modern Rusk Pack of 2,179.95,3.000,539.85
2024-03-01,S01,Bakery,Modern Sandwich Bread 400g,78.22,2.000,156.44
2024-03-01,S01,Bakery,Modern Sandwich Bread Pack of 2,74.15,1.000,74.15
2024-03-01,S01,Dairy,Mother Dairy Butter 200ml,650.25,1.000,650.25
2024-03-01,S01,Dairy,Mother Dairy Cheese Slices 200ml,192.10,7.000,1344.70
2024-03-01,S01,Dairy,Mother Dairy Paneer 500ml,259.77,3.000,779.31
2024-03-01,S01,Dairy,Nandini Butter 1L,611.06,2.000,1222.12
2024-03-01,S01,Dairy,Nandini Butter 200ml,723.68,2.000,1447.36
2024-03-01,S01,Dairy,Nandini Cheese Slices 1L,360.34,1.000,360.34
2024-03-01,S01,Dairy,Nandini Cheese Slices 500g,58.95,3.000,176.85
2024-03-01,S01,Dairy,Nandini Ghee 1L,395.95,1.000,395.95
2024-03-01,S01,Dairy,Nandini Toned Milk 500g,179.85,2.000,359.70
2024-03-01,S01,Stationery & General,Nataraj Ball Pen 1 pc,355.28,3.000,1065.84
2024-03-01,S01,Stationery & General,Nataraj Ball Pen 1 pc,405.96,4.000,1623.84
2024-03-01,S01,Stationery & General,Nataraj Pencil Box 500 sheets,402.26,3.000,1206.78
2024-03-01,S01,Stationery & General,Nataraj Pencil Box 500 sheets,182.34,1.000,182.34
2024-03-01,S01,Stationery & General,Nataraj Pencil Box 500 sheets,317.95,1.000,317.95
2024-03-01,S01,Confectionery,Nestle Chewing Gum 25g,120.11,4.000,480.44
2024-03-01,S01,Confectionery,Nestle Chewing Gum 50g,209.63,6.000,1257.78
2024-03-01,S01,Confectionery,Nestle Dark Chocolate 100g,184.86,2.000,369.72
2024-03-01,S01,Confectionery,Nestle Milk Chocolate Pack of 10,223.50,2.000,447.00
2024-03-01,S01,Personal Care,Nivea Bathing Soap 340ml,561.95,3.000,1685.85
2024-03-01,S01,Personal Care,Nivea Face Wash 340ml,602.03,4.000,2408.12
2024-03-01,S01,Baby Care,Pampers Baby Powder Small,1516.75,1.000,1516.75
2024-03-01,S01,Baby Care,Pampers Diapers Large,819.74,3.000,2459.22
2024-03-01,S01,Beverages,Paper Boat Cola 250g,29.46,1.000,29.46
2024-03-01,S01,Beverages,Paper Boat Mango Juice 600ml,208.34,3.000,625.02
2024-03-01,S01,Beverages,Paper Boat Tea Leaf 1L,22.95,0.000,0.00
2024-03-01,S01,Biscuits & Snacks,Parle Cookies 150g,109.14,3.000,327.42
2024-03-01,S01,Biscuits & Snacks,Parle Cream Biscuit 250g,28.95,1.000,28.95
2024-03-01,S01,Biscuits & Snacks,Parle Glucose Biscuit 150g,105.06,1.000,105.06
2024-03-01,S01,Biscuits & Snacks,Parle Marie Gold 100g,68.95,4.000,275.80
2024-03-01,S01,Biscuits & Snacks,Parle Marie Gold 60g,89.33,-2.000,-178.66
2024-03-01,S01,Personal Care,Patanjali Bathing Soap 100g,260.37,-2.000,-520.74
2024-03-01,S01,Confectionery,Perfetti Dark Chocolate 25g,102.36,3.000,307.08
2024-03-01,S01,Confectionery,Perfetti Dark Chocolate 25g,80.24,2.000,160.48
2024-03-01,S01,Confectionery,Perfetti Dark Chocolate Pack of 10,193.24,4.000,772.96
2024-03-01,S01,Confectionery,Perfetti Milk Chocolate 100g,46.48,3.000,139.44
2024-03-01,S01,Confectionery,Perfetti Milk Chocolate 25g,251.95,1.000,251.95
2024-03-01,S01,Confectionery,Perfetti Milk Chocolate 50g,153.63,3.000,460.89
2024-03-01,S01,Confectionery,Perfetti Milk Chocolate Pack of 10,231.95,1.000,231.95
2024-03-01,S01,Beverages,Real Cola 1L,37.47,-3.000,-112.41
2024-03-01,S01,Beverages,Real Soda 600ml,218.64,3.000,655.92
2024-03-01,S01,Fruits & Vegetables,Safal Apple 1kg,287.33,1.000,287.33
2024-03-01,S01,Fruits & Vegetables,Safal Banana 500g,105.92,3.000,317.76
2024-03-01,S01,Fruits & Vegetables,Safal Carrot 500g,123.06,-2.000,-246.12
2024-03-01,S01,Fruits & Vegetables,Safal Carrot Loose,67.32,2.000,134.64
2024-03-01,S01,Fruits & Vegetables,Safal Potato 1kg,158.77,1.000,158.77
2024-03-01,S01,Edible Oils,Saffola Groundnut Oil 1L,1036.53,3.000,3109.59
2024-03-01,S01,Edible Oils,Saffola Mustard Oil 2L,737.59,1.000,737.59
2024-03-01,S01,Edible Oils,Saffola Sunflower Oil 5L,638.48,1.000,638.48
2024-03-01,S01,Frozen & Ready to Eat,Sumeru French Fries 400g,281.09,7.000,1967.63
2024-03-01,S01,Frozen & Ready to Eat,Sumeru Frozen Peas 200g,342.69,1.000,342.69
2024-03-01,S01,Frozen & Ready to Eat,Sumeru Frozen Peas 200g,423.01,-2.000,-846.02
2024-03-01,S01,Frozen & Ready to Eat,Sumeru Frozen Peas 400g,346.95,4.000,1387.80
2024-03-01,S01,Frozen & Ready to Eat,Sumeru Idli Batter 400g,336.91,-2.000,-673.82
2024-03-01,S01,Frozen & Ready to Eat,Sumeru Ready Paratha 1kg,389.72,1.000,389.72
2024-03-01,S01,Edible Oils,Sundrop Groundnut Oil 1L,827.34,1.000,827.34
2024-03-01,S01,Edible Oils,Sundrop Mustard Oil 5L,130.84,2.000,261.68
2024-03-01,S01,Edible Oils,Sundrop Mustard Oil 5L,389.95,3.000,1169.85
2024-03-01,S01,Edible Oils,Sundrop Rice Bran Oil 1L,415.95,2.000,831.90
2024-03-01,S01,Edible Oils,Sundrop Rice Bran Oil 5L,650.20,2.000,1300.40
2024-03-01,S01,Home Care,Surf Excel Floor Cleaner 1kg,65.23,3.000,195.69
2024-03-01,S01,Home Care,Surf Excel Floor Cleaner 200g,340.95,4.000,1363.80
2024-03-01,S01,Beverages,Tata Tea Cola 2L,94.99,1.000,94.99
2024-03-01,S01,Beverages,Thums Up Cola 250g,434.95,6.000,2609.70
2024-03-01,S01,Beverages,Thums Up Mineral Water 1L,460.11,1.000,460.11
2024-03-01,S01,Beverages,Thums Up Mineral Water 600ml,296.95,2.000,593.90
2024-03-01,S01,Beverages,Thums Up Soda 1L,322.78,2.000,645.56
2024-03-01,S01,Biscuits & Snacks,Unibic Cookies 60g,83.95,1.000,83.95
2024-03-01,S01,Biscuits & Snacks,Unibic Khakhra 150g,75.81,2.000,151.62
2024-03-01,S01,Biscuits & Snacks,Unibic Khakhra 60g,149.87,1.000,149.87
2024-03-01,S01,Home Care,Vim Detergent Powder 500ml,171.39,-3.000,-514.17
2024-03-01,S01,Home Care,Vim Fabric Conditioner 200g,201.95,2.000,403.90
2024-03-01,S01,Frozen & Ready to Eat,iD Fresh French Fries 1kg,212.89,4.000,851.56
2024-03-01,S01,Frozen & Ready to Eat,iD Fresh Ready Paratha 400g,237.28,3.000,711.84
2024-03-01,S02,Staples & Grains,24 Mantra Whole Wheat Atta 1kg,244.95,2.000,489.90
2024-03-01,S02,Spices & Masala,Aachi Chilli Powder 100g,32.95,5.000,164.75
2024-03-01,S02,Spices & Masala,Aachi Sambar Powder 500g,219.41,2.000,438.82
2024-03-01,S02,Staples & Grains,Aashirvaad Poha 5kg,594.50,2.000,1189.00
2024-03-01,S02,Dairy,Amul Butter 500g,474.18,5.000,2370.90
2024-03-01,S02,Confectionery,Amul Choco Chewing Gum 25g,257.95,-2.000,-515.90
2024-03-01,S02,Confectionery,Amul Choco Milk Chocolate 100g,221.21,1.000,221.21
2024-03-01,S02,Dairy,Amul Paneer 500g,398.95,2.000,797.90
2024-03-01,S02,Biscuits & Snacks,Anmol Cookies 150g,9.95,2.000,19.90
2024-03-01,S02,Biscuits & Snacks,Bikano Marie Gold 60g,53.87,2.000,107.74
2024-03-01,S02,Beverages,Bisleri Instant Coffee 2L,421.74,1.000,421.74
2024-03-01,S02,Beverages,Bisleri Mineral Water 2L,315.07,1.000,315.07
2024-03-01,S02,Biscuits & Snacks,Britannia Cookies 150g,11.95,2.000,23.90
2024-03-01,S02,Biscuits & Snacks,Britannia Glucose Biscuit 100g,108.46,2.000,216.92
2024-03-01,S02,Biscuits & Snacks,Britannia Glucose Biscuit 100g,11.18,4.000,44.72
2024-03-01,S02,Biscuits & Snacks,Britannia Khakhra 250g,29.57,3.000,88.71
2024-03-01,S02,Confectionery,Cadbury Candy Pack Pack of 10,21.49,2.000,42.98
2024-03-01,S02,Confectionery,Cadbury Chewing Gum 50g,133.95,3.000,401.85
2024-03-01,S02,Stationery & General,Camlin A4 Paper Ream 1 pc,64.95,3.000,194.85
2024-03-01,S02,Stationery & General,Camlin Ball Pen Pack of 5,56.95,2.000,113.90
2024-03-01,S02,Stationery & General,Camlin Notebook 500 sheets,286.95,1.000,286.95
2024-03-01,S02,Stationery & General,Camlin Notebook Pack of 5,72.61,2.000,145.22
2024-03-01,S02,Stationery & General,Camlin Pencil Box 1 pc,340.81,1.000,340.81
2024-03-01,S02,Spices & Masala,Catch Chilli Powder 200g,347.08,1.000,347.08
2024-03-01,S02,Spices & Masala,Catch Sambar Powder 50g,381.29,3.000,1143.87
2024-03-01,S02,Spices & Masala,Catch Turmeric Powder 200g,301.95,2.000,603.90
2024-03-01,S02,Spices & Masala,Catch Turmeric Powder 500g,324.16,5.000,1620.80
2024-03-01,S02,Stationery & General,Cello Ball Pen Pack of 5,104.62,1.000,104.62
2024-03-01,S02,Stationery & General,Cello Notebook Pack of 5,342.95,3.000,1028.85
2024-03-01,S02,Stationery & General,Cello Pencil Box 1 pc,347.82,3.000,1043.46
2024-03-01,S02,Stationery & General,Cello Pencil Box 500 sheets,130.95,1.000,130.95
2024-03-01,S02,Stationery & General,Classmate Ball Pen Pack of 5,408.40,3.000,1225.20
2024-03-01,S02,Stationery & General,Classmate Notebook 1 pc,72.15,1.000,72.15
2024-03-01,S02,Stationery & General,Classmate Notebook 500 sheets,195.74,2.000,391.48
2024-03-01,S02,Stationery & General,Classmate Notebook Pack of 5,294.44,1.000,294.44
2024-03-01,S02,Stationery & General,Classmate Pencil Box 500 sheets,76.13,2.000,152.26
2024-03-01,S02,Home Care,Comfort Detergent Powder 200g,242.95,3.000,728.85
2024-03-01,S02,Home Care,Comfort Fabric Conditioner 500ml,427.16,1.000,427.16
2024-03-01,S02,Home Care,Comfort Floor Cleaner 500g,87.94,2.000,175.88
2024-03-01,S02,Staples & Grains,Daawat Basmati Rice 5kg,817.71,1.000,817.71
2024-03-01,S02,Staples & Grains,Daawat Chana Dal 10kg,801.95,1.000,801.95
2024-03-01,S02,Staples & Grains,Daawat Chana Dal 1kg,1750.29,3.000,5250.87
2024-03-01,S02,Staples & Grains,Daawat Toor Dal 5kg,539.95,2.000,1079.90
2024-03-01,S02,Staples & Grains,Daawat Toor Dal 5kg,551.58,3.000,1654.74
2024-03-01,S02,Edible Oils,Dhara Sunflower Oil 2L,680.95,2.000,1361.90
2024-03-01,S02,Personal Care,Dove Toothpaste 180ml,499.95,1.000,499.95
2024-03-01,S02,Spices & Masala,Eastern Sambar Powder 50g,200.65,1.000,200.65
2024-03-01,S02,Bakery,English Oven Pav Bun 400g,71.32,2.000,142.64
2024-03-01,S02,Spices & Masala,Everest Garam Masala 200g,280.80,2.000,561.60
2024-03-01,S02,Spices & Masala,Everest Sambar Powder 200g,98.09,2.000,196.18
2024-03-01,S02,Fruits & Vegetables,Farm Fresh Potato 500g,132.95,4.000,531.80
2024-03-01,S02,Fruits & Vegetables,Farm Fresh Tomato Loose,334.66,1.000,334.66
2024-03-01,S02,Staples & Grains,Fortune Basmati Rice 1kg,1012.95,2.000,2025.90
2024-03-01,S02,Edible Oils,Fortune Mustard Oil 5L,139.26,2.000,278.52
2024-03-01,S02,Staples & Grains,Fortune Poha 1kg,303.01,2.000,606.02
2024-03-01,S02,Edible Oils,Gold Winner Mustard Oil 1L,763.12,1.000,763.12
2024-03-01,S02,Edible Oils,Gold Winner Mustard Oil 1L,834.95,6.000,5009.70
2024-03-01,S02,Edible Oils,Gold Winner Sunflower Oil 2L,863.64,1.000,863.64
2024-03-01,S02,Bakery,Harvest Gold Pav Bun 400g,61.87,1.000,61.87
2024-03-01,S02,Bakery,Harvest Gold Sandwich Bread 6 pc,46.25,6.000,277.50
2024-03-01,S02,Bakery,Harvest Gold Sandwich Bread Pack of 2,176.92,1.000,176.92
2024-03-01,S02,Dairy,Heritage Ghee 1L,66.17,2.000,132.34
2024-03-01,S02,Dairy,Heritage Paneer 200ml,220.35,-2.000,-440.70
2024-03-01,S02,Personal Care,Himalaya Bathing Soap 75g,144.89,3.000,434.67
2024-03-01,S02,Personal Care,Himalaya Body Lotion 100g,541.84,1.000,541.84
2024-03-01,S02,Personal Care,Himalaya Face Wash 75g,313.70,2.000,627.40
2024-03-01,S02,Personal Care,Himalaya Toothpaste 100g,561.07,3.000,1683.21
2024-03-01,S02,Baby Care,Huggies Baby Powder Medium,636.95,3.000,1910.85
2024-03-01,S02,Baby Care,Huggies Baby Powder Medium,985.47,1.000,985.47
2024-03-01,S02,Baby Care,Huggies Diapers Small,1749.88,2.000,3499.76
2024-03-01,S02,Frozen & Ready to Eat,ITC Master Chef Frozen Peas 1kg,199.67,1.000,199.67
2024-03-01,S02,Frozen & Ready to Eat,ITC Master Chef Frozen Peas 200g,301.95,4.000,1207.80
2024-03-01,S02,Frozen & Ready to Eat,ITC Master Chef Frozen Peas 400g,294.49,-1.000,-294.49
2024-03-01,S02,Frozen & Ready to Eat,ITC Master Chef Idli Batter 400g,340.95,2.000,681.90
2024-03-01,S02,Frozen & Ready to Eat,ITC Master Chef Ready Paratha 400g,363.70,1.000,363.70
2024-03-01,S02,Staples & Grains,India Gate Basmati Rice 5kg,216.12,1.000,216.12
2024-03-01,S02,Staples & Grains,India Gate Chana Dal 10kg,339.95,3.000,1019.85
2024-03-01,S02,Staples & Grains,India Gate Chana Dal 5kg,574.62,3.000,1723.86
2024-03-01,S02,Baby Care,Johnson's Baby Powder Large,540.51,1.000,540.51
2024-03-01,S02,Baby Care,Johnson's Baby Soap Large,481.95,6.000,2891.70
2024-03-01,S02,Baby Care,Johnson's Baby Soap Small,692.94,2.000,1385.88
2024-03-01,S02,Baby Care,Johnson's Baby Wipes Medium,1290.76,1.000,1290.76
2024-03-01,S02,Home Care,Lizol Detergent Powder 200g,285.67,2.000,571.34
2024-03-01,S02,Home Care,Lizol Dishwash Bar 500ml,269.95,-2.000,-539.90
2024-03-01,S02,Bakery,Local Bakery Muffin Pack of 2,51.26,4.000,205.04
2024-03-01,S02,Bakery,Local Bakery Rusk 400g,161.27,2.000,322.54
2024-03-01,S02,Bakery,Local Bakery Rusk Pack of 2,140.95,1.000,140.95
2024-03-01,S02,Fruits & Vegetables,Local Mandi Apple 1kg,193.24,2.000,386.48
2024-03-01,S02,Fruits & Vegetables,Local Mandi Apple 500g,65.41,2.000,130.82
2024-03-01,S02,Fruits & Vegetables,Local Mandi Apple Loose,224.83,2.000,449.66
2024-03-01,S02,Fruits & Vegetables,Local Mandi Onion 1kg,45.95,2.000,91.90
2024-03-01,S02,Fruits & Vegetables,Local Mandi Onion 1kg,134.95,2.000,269.90
2024-03-01,S02,Fruits & Vegetables,Local Mandi Onion 500g,142.59,2.000,285.18
2024-03-01,S02,Fruits & Vegetables,Local Mandi Potato 500g,131.46,2.000,262.92
2024-03-01,S02,Fruits & Vegetables,Local Mandi Potato Loose,155.81,1.000,155.81
2024-03-01,S02,Fruits & Vegetables,Local Mandi Tomato 1kg,111.95,2.000,223.90
2024-03-01,S02,Spices & Masala,MDH Garam Masala 500g,183.91,2.000,367.82
2024-03-01,S02,Spices & Masala,MDH Sambar Powder 100g,193.95,3.000,581.85
2024-03-01,S02,Spices & Masala,MDH Sambar Powder 500g,79.95,1.000,79.95
2024-03-01,S02,Personal Care,Mamaearth Face Wash 100g,627.95,1.000,627.95
2024-03-01,S02,Baby Care,Mamypoko Baby Wipes Large,934.48,1.000,934.48
2024-03-01,S02,Baby Care,Mamypoko Diapers Large,641.17,1.000,641.17
2024-03-01,S02,Baby Care,Mamypoko Diapers Medium,832.82,4.000,3331.28
2024-03-01,S02,Baby Care,Mamypoko Diapers XL,1107.95,1.000,1107.95
2024-03-01,S02,Frozen & Ready to Eat,McCain French Fries 1kg,116.95,2.000,233.90
2024-03-01,S02,Frozen & Ready to Eat,McCain French Fries 1kg,215.95,-6.000,-1295.70
2024-03-01,S02,Frozen & Ready to Eat,McCain French Fries 200g,407.54,-3.000,-1222.62
