store_id,store_name,category_name,day_of_week,business_month,revenue_inr
S02,Annapurna Koramangala,Bakery,Wednesday,2024-10,17348.73
S02,Annapurna Koramangala,Beverages,Friday,2024-10,23042.45
S02,Annapurna Koramangala,Beverages,Monday,2024-10,23964.83
S02,Annapurna Koramangala,Beverages,Saturday,2024-10,43596.33
S02,Annapurna Koramangala,Beverages,Sunday,2024-10,55348.47
S02,Annapurna Koramangala,Beverages,Thursday,2024-10,41475.39
S02,Annapurna Koramangala,Beverages,Tuesday,2024-10,34438.94
S02,Annapurna Koramangala,Beverages,Wednesday,2024-10,28646.93
S02,Annapurna Koramangala,Biscuits & Snacks,Friday,2024-10,8940.57
S02,Annapurna Koramangala,Biscuits & Snacks,Monday,2024-10,7903.34
S02,Annapurna Koramangala,Biscuits & Snacks,Saturday,2024-10,13234.43
S02,Annapurna Koramangala,Biscuits & Snacks,Sunday,2024-10,13363.08
S02,Annapurna Koramangala,Biscuits & Snacks,Thursday,2024-10,10127.66
S02,Annapurna Koramangala,Biscuits & Snacks,Tuesday,2024-10,11944.31
S02,Annapurna Koramangala,Biscuits & Snacks,Wednesday,2024-10,9243.34
S02,Annapurna Koramangala,Confectionery,Friday,2024-10,17215.13
S02,Annapurna Koramangala,Confectionery,Monday,2024-10,24021.28
S02,Annapurna Koramangala,Confectionery,Saturday,2024-10,33482.44
S02,Annapurna Koramangala,Confectionery,Sunday,2024-10,30378.46
S02,Annapurna Koramangala,Confectionery,Thursday,2024-10,20721.38
S02,Annapurna Koramangala,Confectionery,Tuesday,2024-10,24143.13
S02,Annapurna Koramangala,Confectionery,Wednesday,2024-10,27832.09
S02,Annapurna Koramangala,Dairy,Friday,2024-10,48561.13
S02,Annapurna Koramangala,Dairy,Monday,2024-10,39552.71
S02,Annapurna Koramangala,Dairy,Saturday,2024-10,77461.08
S02,Annapurna Koramangala,Dairy,Sunday,2024-10,74504.32
S02,Annapurna Koramangala,Dairy,Thursday,2024-10,67347.54
S02,Annapurna Koramangala,Dairy,Tuesday,2024-10,66650.94
S02,Annapurna Koramangala,Dairy,Wednesday,2024-10,59336.80
S02,Annapurna Koramangala,Edible Oils,Friday,2024-10,81886.29
S02,Annapurna Koramangala,Edible Oils,Monday,2024-10,94997.05
S02,Annapurna Koramangala,Edible Oils,Saturday,2024-10,148047.92
S02,Annapurna Koramangala,Edible Oils,Sunday,2024-10,103256.04
S02,Annapurna Koramangala,Edible Oils,Thursday,2024-10,139188.14
S02,Annapurna Koramangala,Edible Oils,Tuesday,2024-10,127547.35
S02,Annapurna Koramangala,Edible Oils,Wednesday,2024-10,97346.56
S02,Annapurna Koramangala,Frozen & Ready to Eat,Friday,2024-10,25347.87
S02,Annapurna Koramangala,Frozen & Ready to Eat,Monday,2024-10,26619.47
S02,Annapurna Koramangala,Frozen & Ready to Eat,Saturday,2024-10,49815.81
S02,Annapurna Koramangala,Frozen & Ready to Eat,Sunday,2024-10,49146.20
S02,Annapurna Koramangala,Frozen & Ready to Eat,Thursday,2024-10,47858.28
S02,Annapurna Koramangala,Frozen & Ready to Eat,Tuesday,2024-10,36518.00
S02,Annapurna Koramangala,Frozen & Ready to Eat,Wednesday,2024-10,40715.26
S02,Annapurna Koramangala,Fruits & Vegetables,Friday,2024-10,13910.56
S02,Annapurna Koramangala,Fruits & Vegetables,Monday,2024-10,21050.50
S02,Annapurna Koramangala,Fruits & Vegetables,Saturday,2024-10,27332.02
S02,Annapurna Koramangala,Fruits & Vegetables,Sunday,2024-10,30815.38
S02,Annapurna Koramangala,Fruits & Vegetables,Thursday,2024-10,22605.97
S02,Annapurna Koramangala,Fruits & Vegetables,Tuesday,2024-10,29878.25
S02,Annapurna Koramangala,Fruits & Vegetables,Wednesday,2024-10,26666.66
S02,Annapurna Koramangala,Home Care,Friday,2024-10,38905.21
S02,Annapurna Koramangala,Home Care,Monday,2024-10,31923.48
S02,Annapurna Koramangala,Home Care,Saturday,2024-10,46200.49
S02,Annapurna Koramangala,Home Care,Sunday,2024-10,47200.08
S02,Annapurna Koramangala,Home Care,Thursday,2024-10,44843.79
S02,Annapurna Koramangala,Home Care,Tuesday,2024-10,34221.17
S02,Annapurna Koramangala,Home Care,Wednesday,2024-10,36887.94
S02,Annapurna Koramangala,Personal Care,Friday,2024-10,42385.05
S02,Annapurna Koramangala,Personal Care,Monday,2024-10,39796.00
S02,Annapurna Koramangala,Personal Care,Saturday,2024-10,55263.69
S02,Annapurna Koramangala,Personal Care,Sunday,2024-10,55199.28
S02,Annapurna Koramangala,Personal Care,Thursday,2024-10,64515.98
S02,Annapurna Koramangala,Personal Care,Tuesday,2024-10,50722.43
S02,Annapurna Koramangala,Personal Care,Wednesday,2024-10,72931.61
S02,Annapurna Koramangala,Spices & Masala,Friday,2024-10,20972.26
S02,Annapurna Koramangala,Spices & Masala,Monday,2024-10,14295.07
S02,Annapurna Koramangala,Spices & Masala,Saturday,2024-10,38857.01
S02,Annapurna Koramangala,Spices & Masala,Sunday,2024-10,24425.20
S02,Annapurna Koramangala,Spices & Masala,Thursday,2024-10,18667.81
S02,Annapurna Koramangala,Spices & Masala,Tuesday,2024-10,17736.45
S02,Annapurna Koramangala,Spices & Masala,Wednesday,2024-10,24517.91
S02,Annapurna Koramangala,Staples & Grains,Friday,2024-10,96413.50
S02,Annapurna Koramangala,Staples & Grains,Monday,2024-10,132239.40
S02,Annapurna Koramangala,Staples & Grains,Saturday,2024-10,122355.93
S02,Annapurna Koramangala,Staples & Grains,Sunday,2024-10,163477.16
S02,Annapurna Koramangala,Staples & Grains,Thursday,2024-10,193270.59
S02,Annapurna Koramangala,Staples & Grains,Tuesday,2024-10,108782.04
S02,Annapurna Koramangala,Staples & Grains,Wednesday,2024-10,141704.12
S02,Annapurna Koramangala,Stationery & General,Friday,2024-10,24111.00
S02,Annapurna Koramangala,Stationery & General,Monday,2024-10,29441.42
S02,Annapurna Koramangala,Stationery & General,Saturday,2024-10,42276.03
S02,Annapurna Koramangala,Stationery & General,Sunday,2024-10,51463.94
S02,Annapurna Koramangala,Stationery & General,Thursday,2024-10,37683.58
S02,Annapurna Koramangala,Stationery & General,Tuesday,2024-10,39390.75
S02,Annapurna Koramangala,Stationery & General,Wednesday,2024-10,41678.19
S03,Annapurna T Nagar,Baby Care,Friday,2024-10,139365.10
S03,Annapurna T Nagar,Baby Care,Monday,2024-10,114215.08
S03,Annapurna T Nagar,Baby Care,Saturday,2024-10,190502.01
S03,Annapurna T Nagar,Baby Care,Sunday,2024-10,194560.75
S03,Annapurna T Nagar,Baby Care,Thursday,2024-10,190775.77
S03,Annapurna T Nagar,Baby Care,Tuesday,2024-10,145126.97
S03,Annapurna T Nagar,Baby Care,Wednesday,2024-10,136948.77
S03,Annapurna T Nagar,Bakery,Friday,2024-10,23815.48
S03,Annapurna T Nagar,Bakery,Monday,2024-10,19847.70
S03,Annapurna T Nagar,Bakery,Saturday,2024-10,29799.65
S03,Annapurna T Nagar,Bakery,Sunday,2024-10,23028.86
S03,Annapurna T Nagar,Bakery,Thursday,2024-10,23356.06
S03,Annapurna T Nagar,Bakery,Tuesday,2024-10,19956.04
S03,Annapurna T Nagar,Bakery,Wednesday,2024-10,25831.37
S03,Annapurna T Nagar,Beverages,Friday,2024-10,45899.30
S03,Annapurna T Nagar,Beverages,Monday,2024-10,40539.88
S03,Annapurna T Nagar,Beverages,Saturday,2024-10,56426.94
S03,Annapurna T Nagar,Beverages,Sunday,2024-10,68233.57
S03,Annapurna T Nagar,Beverages,Thursday,2024-10,49331.12
S03,Annapurna T Nagar,Beverages,Tuesday,2024-10,41882.16
S03,Annapurna T Nagar,Beverages,Wednesday,2024-10,49723.38
S03,Annapurna T Nagar,Biscuits & Snacks,Friday,2024-10,12841.83
S03,Annapurna T Nagar,Biscuits & Snacks,Monday,2024-10,9433.72
S03,Annapurna T Nagar,Biscuits & Snacks,Saturday,2024-10,20586.10
S03,Annapurna T Nagar,Biscuits & Snacks,Sunday,2024-10,13807.63
S03,Annapurna T Nagar,Biscuits & Snacks,Thursday,2024-10,13204.34
S03,Annapurna T Nagar,Biscuits & Snacks,Tuesday,2024-10,11318.32
S03,Annapurna T Nagar,Biscuits & Snacks,Wednesday,2024-10,10249.91
S03,Annapurna T Nagar,Confectionery,Friday,2024-10,31495.89
S03,Annapurna T Nagar,Confectionery,Monday,2024-10,22551.37
S03,Annapurna T Nagar,Confectionery,Saturday,2024-10,42164.59
S03,Annapurna T Nagar,Confectionery,Sunday,2024-10,24475.71
S03,Annapurna T Nagar,Confectionery,Thursday,2024-10,34056.89
S03,Annapurna T Nagar,Confectionery,Tuesday,2024-10,26992.66
S03,Annapurna T Nagar,Confectionery,Wednesday,2024-10,27927.79
S03,Annapurna T Nagar,Dairy,Friday,2024-10,64578.31
S03,Annapurna T Nagar,Dairy,Monday,2024-10,46810.18
S03,Annapurna T Nagar,Dairy,Saturday,2024-10,98984.94
S03,Annapurna T Nagar,Dairy,Sunday,2024-10,65017.86
S03,Annapurna T Nagar,Dairy,Thursday,2024-10,72758.73
S03,Annapurna T Nagar,Dairy,Tuesday,2024-10,57897.36
S03,Annapurna T Nagar,Dairy,Wednesday,2024-10,90464.07
S03,Annapurna T Nagar,Edible Oils,Friday,2024-10,135893.99
S03,Annapurna T Nagar,Edible Oils,Monday,2024-10,86473.07
S03,Annapurna T Nagar,Edible Oils,Saturday,2024-10,208302.13
S03,Annapurna T Nagar,Edible Oils,Sunday,2024-10,133671.84
S03,Annapurna T Nagar,Edible Oils,Thursday,2024-10,124187.89
S03,Annapurna T Nagar,Edible Oils,Tuesday,2024-10,141994.97
S03,Annapurna T Nagar,Edible Oils,Wednesday,2024-10,141107.68
S03,Annapurna T Nagar,Frozen & Ready to Eat,Friday,2024-10,57017.65
S03,Annapurna T Nagar,Frozen & Ready to Eat,Monday,2024-10,41209.02
S03,Annapurna T Nagar,Frozen & Ready to Eat,Saturday,2024-10,81159.42
S03,Annapurna T Nagar,Frozen & Ready to Eat,Sunday,2024-10,59896.55
S03,Annapurna T Nagar,Frozen & Ready to Eat,Thursday,2024-10,56231.68
S03,Annapurna T Nagar,Frozen & Ready to Eat,Tuesday,2024-10,50067.00
S03,Annapurna T Nagar,Frozen & Ready to Eat,Wednesday,2024-10,43142.66
S03,Annapurna T Nagar,Fruits & Vegetables,Friday,2024-10,26014.61
S03,Annapurna T Nagar,Fruits & Vegetables,Monday,2024-10,17941.14
S03,Annapurna T Nagar,Fruits & Vegetables,Saturday,2024-10,38953.65
S03,Annapurna T Nagar,Fruits & Vegetables,Sunday,2024-10,33711.30
S03,Annapurna T Nagar,Fruits & Vegetables,Thursday,2024-10,31531.26
S03,Annapurna T Nagar,Fruits & Vegetables,Tuesday,2024-10,21502.84
S03,Annapurna T Nagar,Fruits & Vegetables,Wednesday,2024-10,18465.99
S03,Annapurna T Nagar,Home Care,Friday,2024-10,40958.04
S03,Annapurna T Nagar,Home Care,Monday,2024-10,33901.46
S03,Annapurna T Nagar,Home Care,Saturday,2024-10,71936.83
S03,Annapurna T Nagar,Home Care,Sunday,2024-10,50554.68
S03,Annapurna T Nagar,Home Care,Thursday,2024-10,43473.07
S03,Annapurna T Nagar,Home Care,Tuesday,2024-10,45862.25
S03,Annapurna T Nagar,Home Care,Wednesday,2024-10,59110.74
S03,Annapurna T Nagar,Personal Care,Friday,2024-10,80212.40
S03,Annapurna T Nagar,Personal Care,Monday,2024-10,47995.54
S03,Annapurna T Nagar,Personal Care,Saturday,2024-10,82949.18
S03,Annapurna T Nagar,Personal Care,Sunday,2024-10,68012.01
S03,Annapurna T Nagar,Personal Care,Thursday,2024-10,74770.87
S03,Annapurna T Nagar,Personal Care,Tuesday,2024-10,57733.87
S03,Annapurna T Nagar,Personal Care,Wednesday,2024-10,47536.59
S03,Annapurna T Nagar,Spices & Masala,Friday,2024-10,28406.05
S03,Annapurna T Nagar,Spices & Masala,Monday,2024-10,24211.93
S03,Annapurna T Nagar,Spices & Masala,Saturday,2024-10,41850.41
S03,Annapurna T Nagar,Spices & Masala,Sunday,2024-10,38682.60
S03,Annapurna T Nagar,Spices & Masala,Thursday,2024-10,37229.35
S03,Annapurna T Nagar,Spices & Masala,Tuesday,2024-10,31053.82
S03,Annapurna T Nagar,Spices & Masala,Wednesday,2024-10,32375.93
S03,Annapurna T Nagar,Staples & Grains,Friday,2024-10,115401.48
S03,Annapurna T Nagar,Staples & Grains,Monday,2024-10,142529.93
S03,Annapurna T Nagar,Staples & Grains,Saturday,2024-10,248893.90
S03,Annapurna T Nagar,Staples & Grains,Sunday,2024-10,221404.13
S03,Annapurna T Nagar,Staples & Grains,Thursday,2024-10,163796.76
S03,Annapurna T Nagar,Staples & Grains,Tuesday,2024-10,155341.99
S03,Annapurna T Nagar,Staples & Grains,Wednesday,2024-10,172805.97
S03,Annapurna T Nagar,Stationery & General,Friday,2024-10,32646.22
S03,Annapurna T Nagar,Stationery & General,Monday,2024-10,39206.13
S03,Annapurna T Nagar,Stationery & General,Saturday,2024-10,75043.07
S03,Annapurna T Nagar,Stationery & General,Sunday,2024-10,71625.81
S03,Annapurna T Nagar,Stationery & General,Thursday,2024-10,46509.32
S03,Annapurna T Nagar,Stationery & General,Tuesday,2024-10,47147.51
S03,Annapurna T Nagar,Stationery & General,Wednesday,2024-10,50002.85
S04,Annapurna Kukatpally,Baby Care,Friday,2024-10,74673.90
S04,Annapurna Kukatpally,Baby Care,Monday,2024-10,111255.56
S04,Annapurna Kukatpally,Baby Care,Saturday,2024-10,127020.00
S04,Annapurna Kukatpally,Baby Care,Sunday,2024-10,147443.05
S04,Annapurna Kukatpally,Baby Care,Thursday,2024-10,121003.48
S04,Annapurna Kukatpally,Baby Care,Tuesday,2024-10,67809.26
S04,Annapurna Kukatpally,Baby Care,Wednesday,2024-10,64950.70
S04,Annapurna Kukatpally,Bakery,Friday,2024-10,16087.24
S04,Annapurna Kukatpally,Bakery,Monday,2024-10,12442.57
S04,Annapurna Kukatpally,Bakery,Saturday,2024-10,20926.90
S04,Annapurna Kukatpally,Bakery,Sunday,2024-10,19422.24
S04,Annapurna Kukatpally,Bakery,Thursday,2024-10,15560.47
S04,Annapurna Kukatpally,Bakery,Tuesday,2024-10,16433.02
S04,Annapurna Kukatpally,Bakery,Wednesday,2024-10,8188.08
S04,Annapurna Kukatpally,Beverages,Friday,2024-10,23685.66
S04,Annapurna Kukatpally,Beverages,Monday,2024-10,19493.30
S04,Annapurna Kukatpally,Beverages,Saturday,2024-10,41141.97
S04,Annapurna Kukatpally,Beverages,Sunday,2024-10,30939.74
S04,Annapurna Kukatpally,Beverages,Thursday,2024-10,36306.16
S04,Annapurna Kukatpally,Beverages,Tuesday,2024-10,18033.79
S04,Annapurna Kukatpally,Beverages,Wednesday,2024-10,25785.34
S04,Annapurna Kukatpally,Biscuits & Snacks,Friday,2024-10,10902.23
S04,Annapurna Kukatpally,Biscuits & Snacks,Monday,2024-10,5746.78
S04,Annapurna Kukatpally,Biscuits & Snacks,Saturday,2024-10,11656.61
S04,Annapurna Kukatpally,Biscuits & Snacks,Sunday,2024-10,10578.54
S04,Annapurna Kukatpally,Biscuits & Snacks,Thursday,2024-10,9099.15
S04,Annapurna Kukatpally,Biscuits & Snacks,Tuesday,2024-10,10358.24
S04,Annapurna Kukatpally,Biscuits & Snacks,Wednesday,2024-10,5247.72
S04,Annapurna Kukatpally,Confectionery,Friday,2024-10,21669.21
S04,Annapurna Kukatpally,Confectionery,Monday,2024-10,18796.20
S04,Annapurna Kukatpally,Confectionery,Saturday,2024-10,29234.90
S04,Annapurna Kukatpally,Confectionery,Sunday,2024-10,26710.54
S04,Annapurna Kukatpally,Confectionery,Thursday,2024-10,28449.94
S04,Annapurna Kukatpally,Confectionery,Tuesday,2024-10,19255.35
S04,Annapurna Kukatpally,Confectionery,Wednesday,2024-10,14914.21
S04,Annapurna Kukatpally,Dairy,Friday,2024-10,50043.89
S04,Annapurna Kukatpally,Dairy,Monday,2024-10,25929.30
S04,Annapurna Kukatpally,Dairy,Saturday,2024-10,65184.01
S04,Annapurna Kukatpally,Dairy,Sunday,2024-10,69842.77
S04,Annapurna Kukatpally,Dairy,Thursday,2024-10,45716.34
S04,Annapurna Kukatpally,Dairy,Tuesday,2024-10,50057.17
S04,Annapurna Kukatpally,Dairy,Wednesday,2024-10,35016.16
S04,Annapurna Kukatpally,Edible Oils,Friday,2024-10,98459.04
S04,Annapurna Kukatpally,Edible Oils,Monday,2024-10,55796.67
S04,Annapurna Kukatpally,Edible Oils,Saturday,2024-10,171151.96
S04,Annapurna Kukatpally,Edible Oils,Sunday,2024-10,116259.44
S04,Annapurna Kukatpally,Edible Oils,Thursday,2024-10,135276.52
S04,Annapurna Kukatpally,Edible Oils,Tuesday,2024-10,127049.57
S04,Annapurna Kukatpally,Edible Oils,Wednesday,2024-10,62221.22
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Friday,2024-10,38556.92
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Monday,2024-10,18974.94
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Saturday,2024-10,51552.26
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Sunday,2024-10,39328.86
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Thursday,2024-10,40165.61
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Tuesday,2024-10,37503.87
S04,Annapurna Kukatpally,Frozen & Ready to Eat,Wednesday,2024-10,35196.28
S04,Annapurna Kukatpally,Fruits & Vegetables,Friday,2024-10,13754.09
S04,Annapurna Kukatpally,Fruits & Vegetables,Monday,2024-10,11165.30
S04,Annapurna Kukatpally,Fruits & Vegetables,Saturday,2024-10,20824.80
S04,Annapurna Kukatpally,Fruits & Vegetables,Sunday,2024-10,25914.89
S04,Annapurna Kukatpally,Fruits & Vegetables,Thursday,2024-10,20843.77
S04,Annapurna Kukatpally,Fruits & Vegetables,Tuesday,2024-10,16883.55
S04,Annapurna Kukatpally,Fruits & Vegetables,Wednesday,2024-10,14220.88
S04,Annapurna Kukatpally,Home Care,Friday,2024-10,36234.20
S04,Annapurna Kukatpally,Home Care,Monday,2024-10,23608.74
S04,Annapurna Kukatpally,Home Care,Saturday,2024-10,42936.24
S04,Annapurna Kukatpally,Home Care,Sunday,2024-10,35412.47
S04,Annapurna Kukatpally,Home Care,Thursday,2024-10,41184.11
S04,Annapurna Kukatpally,Home Care,Tuesday,2024-10,25138.64
S04,Annapurna Kukatpally,Home Care,Wednesday,2024-10,20480.49
S04,Annapurna Kukatpally,Personal Care,Friday,2024-10,34130.85
S04,Annapurna Kukatpally,Personal Care,Monday,2024-10,43026.58
S04,Annapurna Kukatpally,Personal Care,Saturday,2024-10,47581.41
S04,Annapurna Kukatpally,Personal Care,Sunday,2024-10,46762.48
S04,Annapurna Kukatpally,Personal Care,Thursday,2024-10,43342.78
S04,Annapurna Kukatpally,Personal Care,Tuesday,2024-10,42318.03
S04,Annapurna Kukatpally,Personal Care,Wednesday,2024-10,37512.31
S04,Annapurna Kukatpally,Spices & Masala,Friday,2024-10,24699.07
S04,Annapurna Kukatpally,Spices & Masala,Monday,2024-10,19444.08
S04,Annapurna Kukatpally,Spices & Masala,Saturday,2024-10,26633.04
S04,Annapurna Kukatpally,Spices & Masala,Sunday,2024-10,24912.25
S04,Annapurna Kukatpally,Spices & Masala,Thursday,2024-10,22582.36
S04,Annapurna Kukatpally,Spices & Masala,Tuesday,2024-10,18321.05
S04,Annapurna Kukatpally,Spices & Masala,Wednesday,2024-10,13083.02
